Admin2,Province_State,Country_Region,Lat,Long_,Combined_Key,Date,Confirmed,Deaths,TransactionYear,TransactionQtr,TransactionMth
Westchester,New York,US,41.16278376,-73.75741653,"Westchester, New York, US",2020-01-22,0,0,2020,1,1
Wyoming,New York,US,42.70145109,-78.22199579,"Wyoming, New York, US",2020-01-22,0,0,2020,1,1
Yates,New York,US,42.63505484,-77.10369919,"Yates, New York, US",2020-01-22,0,0,2020,1,1
Out of NY,New York,US,0.0,0.0,"Out of NY, New York, US",2020-01-22,0,0,2020,1,1
Unassigned,New York,US,0.0,0.0,"Unassigned, New York, US",2020-01-22,0,0,2020,1,1
Albany,New York,US,42.60060306,-73.97723916,"Albany, New York, US",2020-01-23,0,0,2020,1,1
Allegany,New York,US,42.25748406,-78.02750466,"Allegany, New York, US",2020-01-23,0,0,2020,1,1
Bronx,New York,US,40.85209301,-73.86282755,"Bronx, New York, US",2020-01-23,0,0,2020,1,1
Broome,New York,US,42.15903158,-75.81326086,"Broome, New York, US",2020-01-23,0,0,2020,1,1
Cattaraugus,New York,US,42.24778241,-78.67923096,"Cattaraugus, New York, US",2020-01-23,0,0,2020,1,1
Cayuga,New York,US,42.91261714,-76.55731592,"Cayuga, New York, US",2020-01-23,0,0,2020,1,1
Chautauqua,New York,US,42.227692100000006,-79.36691763,"Chautauqua, New York, US",2020-01-23,0,0,2020,1,1
Chemung,New York,US,42.13891056,-76.7638805,"Chemung, New York, US",2020-01-23,0,0,2020,1,1
Chenango,New York,US,42.49430041,-75.60887553,"Chenango, New York, US",2020-01-23,0,0,2020,1,1
Clinton,New York,US,44.74530905,-73.67875352,"Clinton, New York, US",2020-01-23,0,0,2020,1,1
Columbia,New York,US,42.24819348,-73.63089095,"Columbia, New York, US",2020-01-23,0,0,2020,1,1
Cortland,New York,US,42.59509207,-76.07048931,"Cortland, New York, US",2020-01-23,0,0,2020,1,1
Delaware,New York,US,42.19837623,-74.96709306,"Delaware, New York, US",2020-01-23,0,0,2020,1,1
Dutchess,New York,US,41.764860600000006,-73.74356679,"Dutchess, New York, US",2020-01-23,0,0,2020,1,1
Erie,New York,US,42.76249024,-78.73063652,"Erie, New York, US",2020-01-23,0,0,2020,1,1
Essex,New York,US,44.11630765,-73.77297842,"Essex, New York, US",2020-01-23,0,0,2020,1,1
Franklin,New York,US,44.59040891,-74.29926032,"Franklin, New York, US",2020-01-23,0,0,2020,1,1
Fulton,New York,US,43.11363907,-74.41798804,"Fulton, New York, US",2020-01-23,0,0,2020,1,1
Genesee,New York,US,43.0022601,-78.19135193,"Genesee, New York, US",2020-01-23,0,0,2020,1,1
Greene,New York,US,42.275797,-74.12384884,"Greene, New York, US",2020-01-23,0,0,2020,1,1
